s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 1.2845242E+001, 1.7304646E+002,-5.9782269E+001,-1.1153349E+002,-2.0198689E+000,-5.0805182E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.8096547E-002,-3.3997691E-001, 4.3479506E-003
 1.2901548E+001, 1.7892694E+002,-6.1737080E+001,-1.1329842E+002,-2.1441264E+000,-5.8707884E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3024142E+000, 1.6886094E+000, 4.3479506E-003
 1.2961235E+001, 1.8887948E+002,-6.5259329E+001,-1.1753490E+002,-2.1559232E+000,-6.2137374E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5527619E+000, 3.8671931E+000, 4.3479506E-003
 1.3023173E+001, 2.0130009E+002,-6.9485835E+001,-1.2542153E+002,-2.1759622E+000,-5.5460223E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6288753E+000, 4.1613017E+000, 4.3479506E-003
 1.3085112E+001, 2.1329734E+002,-7.3649544E+001,-1.3429705E+002,-2.1673440E+000,-5.8404130E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2084737E+000, 3.1249938E+000, 4.3479506E-003
 1.3147050E+001, 2.2714706E+002,-7.8534417E+001,-1.4246377E+002,-2.1419644E+000,-4.7055341E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5940101E+000, 3.9598498E+000, 4.3479506E-003
 1.3208988E+001, 2.3230390E+002,-8.0209374E+001,-1.4651737E+002,-2.0647059E+000,-3.2837869E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7522092E+000, 3.4796183E+000, 4.3479506E-003
 1.3269036E+001, 2.2498719E+002,-7.7746706E+001,-1.4391813E+002,-1.8858762E+000,-1.0700136E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9908422E+000, 1.4257768E+000, 4.3479506E-003
 1.3321518E+001, 2.1337489E+002,-7.3724787E+001,-1.3882086E+002,-1.7240335E+000, 9.6375266E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.9394724E-001,-8.8515002E-001, 4.3479506E-003
 1.3383313E+001, 1.9067530E+002,-6.5879875E+001,-1.2813624E+002,-1.8288638E+000,-1.8952067E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1169999E+000,-5.1715765E+000, 4.3479506E-003
 1.3448499E+001, 1.6649625E+002,-5.7595882E+001,-1.1247923E+002,-1.8847119E+000,-1.2908857E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.9867585E+000,-5.4764881E+000, 4.3479506E-003
 1.3504372E+001, 1.7016087E+002,-5.8874692E+001,-1.1412209E+002,-1.8831031E+000,-1.9004484E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3320876E+000,-4.7380217E+000, 4.3479506E-003
 1.3560245E+001, 1.8009921E+002,-6.2265506E+001,-1.1883450E+002,-1.7158673E+000, 9.9600312E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4629908E+000,-2.7067029E+000, 4.3479506E-003
 1.3624043E+001, 1.9041851E+002,-6.5773451E+001,-1.2252112E+002,-1.4197637E+000, 4.2734980E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.8776740E-001, 7.4691084E-001, 4.3479506E-003
 1.3686015E+001, 1.8246765E+002,-6.3001095E+001,-1.1912844E+002,-1.3037980E+000, 5.6753061E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.4131386E-001,-9.0893474E-001, 4.3479506E-003
 1.3747988E+001, 1.8509832E+002,-6.3874161E+001,-1.2057828E+002,-1.2903176E+000, 6.2116767E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.8463371E-001,-5.8232763E-001, 4.3479506E-003
 1.3809960E+001, 1.8860956E+002,-6.5076971E+001,-1.2326179E+002,-1.2878196E+000, 6.2898737E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.6469141E-001,-9.5412052E-001, 4.3479506E-003
 1.3871933E+001, 1.8430911E+002,-6.3587888E+001,-1.2029102E+002,-1.2678414E+000, 6.5444823E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.4652377E-001,-7.7219402E-001, 4.3479506E-003
 1.3921511E+001, 1.7223803E+002,-5.9375476E+001,-1.1324291E+002,-1.2584048E+000, 6.9743660E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3356567E+000,-1.5690172E+000, 4.3479506E-003
 1.3983483E+001, 1.6992282E+002,-5.8626364E+001,-1.1050839E+002,-1.1783466E+000, 7.4336307E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.2570227E-001,-3.1595133E-001, 4.3479506E-003
