s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"GYPSUM-NET","GYPSUM-CONV","GYPSUM-RAD","GYPSUM-INC","GYPSUM-GAUGE","GYPSUM-RADIO","INERT-NET","INERT-CONV","INERT-RAD","INERT-INC","INERT-GAUGE","INERT-RADIO"
 2.3006382E+001, 6.1115551E+000,-3.4194276E-001, 6.4534979E+000, 1.3735167E+001, 1.3768193E+001, 1.3658371E+001, 9.6865263E+000, 3.0474886E-003, 9.6834793E+000, 1.1181207E+001, 1.0762469E+001, 1.0759421E+001
 2.4006659E+001, 6.7432828E+000,-4.3049505E-001, 7.1737781E+000, 1.5146766E+001, 1.5233382E+001, 1.5158522E+001, 8.5157127E+000, 6.5286099E-003, 8.5091848E+000, 9.8799162E+000, 9.4611778E+000, 9.4546490E+000
 2.5006407E+001, 5.7293973E+000,-5.1494908E-001, 6.2443466E+000, 1.3214922E+001, 1.3329997E+001, 1.3311132E+001, 9.5456591E+000, 4.8496476E-003, 9.5408087E+000, 1.1024487E+001, 1.0605748E+001, 1.0600899E+001
 2.6003682E+001, 4.2719383E+000,-4.7372988E-001, 4.7456684E+000, 1.0244482E+001, 1.0341655E+001, 1.0299474E+001, 8.7938070E+000, 2.4441588E-003, 8.7913628E+000, 1.0189363E+001, 9.7706251E+000, 9.7681808E+000
 2.7006629E+001, 5.2147655E+000,-4.9130666E-001, 5.7060719E+000, 1.2163537E+001, 1.2273213E+001, 1.2236105E+001, 1.1151464E+001, 8.8870740E-003, 1.1142576E+001, 1.2808266E+001, 1.2389528E+001, 1.2380641E+001
 2.8011754E+001, 4.0007482E+000,-4.9831036E-001, 4.4990587E+000, 9.7366886E+000, 9.8450174E+000, 9.8162613E+000, 1.0201057E+001, 3.6643064E-003, 1.0197393E+001, 1.1752839E+001, 1.1334101E+001, 1.1330437E+001
 2.9002465E+001, 6.2327318E+000,-5.3133541E-001, 6.7640672E+000, 1.4294416E+001, 1.4439276E+001, 1.4407014E+001, 8.8677979E+000, 1.9011758E-002, 8.8487854E+000, 1.0269734E+001, 9.8509960E+000, 9.8319845E+000
 3.0009122E+001, 5.7746959E+000,-5.6152666E-001, 6.3362222E+000, 1.3446241E+001, 1.3615225E+001, 1.3589029E+001, 9.9652386E+000, 4.7870367E-003, 9.9604521E+000, 1.1490694E+001, 1.1071956E+001, 1.1067169E+001
 3.1003801E+001, 4.4138203E+000,-5.5300504E-001, 4.9668250E+000, 1.0706389E+001, 1.0868913E+001, 1.0840655E+001, 9.3934135E+000, 1.6977325E-003, 9.3917160E+000, 1.0855676E+001, 1.0436937E+001, 1.0435240E+001
 3.2007088E+001, 4.2967582E+000,-5.2438593E-001, 4.8211441E+000, 1.0444134E+001, 1.0598853E+001, 1.0549782E+001, 9.4771843E+000, 1.5714207E-003, 9.4756136E+000, 1.0948769E+001, 1.0530030E+001, 1.0528460E+001
 3.3008539E+001, 4.4830260E+000,-5.0079662E-001, 4.9838228E+000, 1.0792190E+001, 1.0939897E+001, 1.0874249E+001, 1.1816463E+001, 2.7207471E-003, 1.1813742E+001, 1.3547839E+001, 1.3129101E+001, 1.3126380E+001
 3.4004744E+001, 5.6023016E+000,-5.5453575E-001, 6.1568375E+000, 1.3127310E+001, 1.3308935E+001, 1.3263107E+001, 8.7153959E+000, 2.0826321E-002, 8.6945696E+000, 1.0100198E+001, 9.6814594E+000, 9.6606331E+000
 3.5002011E+001, 5.4247551E+000,-5.8922154E-001, 6.0139766E+000, 1.2844405E+001, 1.3051247E+001, 1.3014888E+001, 9.7033854E+000, 1.6853098E-002, 9.6865320E+000, 1.1198404E+001, 1.0779667E+001, 1.0762814E+001
